textID	fileID	#words	genre	date	country	language(s)	IMDB	title
-----	-----	-----	-----	-----	-----	-----	-----	-----

20641	176501	11140	Drama, Romance	1930	USA	English	0020641	Anna Christie
22241	5992934	7426	Drama	1931	USA	English	0022241	Over the Hill
25641	4613561	238	Animation, Short, Comedy	1934	USA	English	0025641	Peculiar Penguins
26641	3639561	7536	Comedy, Drama, Family	1935	USA	English	0026641	The Littlest Rebel
26941	4613564	330	Animation, Comedy, Family	1935	USA	English	0026941	The Robber Kitten
27441	3097530	9379	Comedy, Crime, Mystery	1936	USA	English, Cantonese	0027441	Charlie Chan at the Race Track
28141	6458656	7936	Biography, Drama, History	1936	USA	English	0028141	The Prisoner of Shark Island
30341	3148641	10157	Mystery, Thriller	1938	UK	English, German, French, Italian	0030341	The Lady Vanishes
30241	5192290	13428	Comedy, Romance	1938	USA	English	0030241	Holiday
31241	3656878	114	Family, Animation, Comedy	1939	USA	English	0031241	Donald's Cousin Gus
34241	4257286	7265	Comedy, Music, Romance	1941	USA	English	0034241	Sun Valley Serenade
36241	4799965	8999	Comedy, Drama, Romance	1943	USA	English, Spanish	0036241	The Outlaw
36341	6510398	7481	Drama, Horror, Mystery	1943	USA	English, Italian, Latin, French	0036341	The Seventh Victim
36441	6691593	445	Animation, Family, Short	1943	USA	English	0036441	Tin Pan Alley Cats
36641	3589306	1628	Mystery, Drama, Fantasy	1944	USA	English	0036641	Between Two Worlds
39941	5243442	12111	Drama, Film-Noir, Mystery	1947	USA	English	0039941	The Unsuspected
41841	5883516	8230	Action, Drama, Romance, War	1949	USA	English	0041841	Sands of Iwo Jima
42041	4671350	10109	Action, Crime, Drama	1949	USA	English	0042041	White Heat
42541	6017201	10879	Comedy	1950	UK	English	0042541	The Happiest Days of Your Life
44941	4788308	14126	Drama	1952	USA	English	0044941	My Son John
44841	3557993	494	Family, Animation, Short	1952	USA	English	0044841	The Little House
45941	6648679	6519	Drama, History, War	1953	USA	English	0045941	The Juggler
48441	6520352	5513	Musical	1955	UK	English	0048441	Oh... Rosalinda!!
51141	6776618	10417	Drama, Romance, War	1957	USA	English	0051141	Until They Sail
52141	6349778	10092	Comedy	1958	USA	English	0052141	Rock-a-Bye Baby
53041	6333252	7804	Drama, Horror, Sci-Fi	1959	UK	English	0053041	The Man Who Could Cheat Death
53841	3838558	15025	Drama, Romance	1960	USA	English	0053841	From the Terrace
54641	4063067	4422	Adventure, Fantasy	1961	Italy, France	English, Italian	0054641	Journey Beneath the Desert
56141	6711210	12992	Drama, Romance	1962	UK	English, German	0056141	A Kind of Loving
56541	3419585	12581	Drama	1962	USA	English	0056541	Sweet Bird of Youth
56241	3992313	6703	Biography, Drama	1962	USA	English, American Sign Language	0056241	The Miracle Worker
59641	5841175	11355	Action, Drama, Sport	1965	USA	English	0059641	Red Line 7000
60841	4592570	6350	Horror	1966	UK	English	0060841	The Plague of the Zombies
62341	4865083	4943	Action, Adventure	1967	Switzerland, USA	English	0062341	Tarzan and the Great River
62141	6747461	13606	Drama	1967	UK	English	0062141	Poor Cow
62741	7008578	4604	Adventure, Crime	1968	Spain, West Germany, UK, USA	English, German	0062741	The Blood of Fu Manchu
